"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"WFRGUTFRQ_IUF","8","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Clean gutters frequency","HOUSEHOLD","Character","JWFRGUTFRQ_IUF","Coming soon","1: Has gutter, cleaned twice or more a year||2: Has gutter, cleaned once a year||3: Has gutter, cleaned less often than once a year||4: Has gutter, never cleaned||5: Has gutter, cleaning not reported||6: No gutter||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","WFRGUTFRQ is determined using WFRGUTTER (Does your roof have gutters?) and WFRGUTCLN (How often are your gutters cleaned?).",
"WFRROOF","9","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","PUF","Type of roof on home","HOUSEHOLD","Character","JWFRROOF","Coming soon","1: Asphalt shingles||2: Wood shake||3: Tile||4: Metal||5: Other||M or -9: Not reported||N or -6: Not applicable","What type of roof do you have?","WFRROOF","None","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and DIVISION in ('5' '7' '8' '9')","The PUF universe is a subset of the IUF universe that does not include the Wildland-Urban Interface areas.",
"WFRROOF_IUF","10","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Type of roof on home","HOUSEHOLD","Character","JWFRROOF_IUF","Coming soon","1: Asphalt shingles||2: Wood shake||3: Tile||4: Metal||5: Other||M or -9: Not reported||N or -6: Not applicable","What type of roof do you have?","WFRROOF","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","",
"WFRSIDING","11","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","PUF","Siding or exterior wall covering","HOUSEHOLD","Character","JWFRSIDING","Coming soon","1: Wood||2: Vinyl||3: Aluminum||4: Other (brick, asbestos, fiber cement, etc.)||M or -9: Not reported||N or -6: Not applicable","What kind of siding or exterior wall covering is on your home?","WFRSIDING","None","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and DIVISION in ('5' '7' '8' '9')","The PUF universe is a subset of the IUF universe that does not include the Wildland-Urban Interface areas.",
"WFRSIDING_IUF","12","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Siding or exterior wall covering","HOUSEHOLD","Character","JWFRSIDING_IUF","Coming soon","1: Wood||2: Vinyl||3: Aluminum||4: Other (brick, asbestos, fiber cement, etc.)||M or -9: Not reported||N or -6: Not applicable","What kind of siding or exterior wall covering is on your home?","WFRSIDING","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","",
"WFRVEGCLS","13","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","PUF","Vegetation within 5 feet of home","HOUSEHOLD","Character","JWFRVEGCLS","Coming soon","1: Has nearby vegetation, within 5 feet of home||2: Has nearby vegetation, not within 5 feet of home||3: Has nearby vegetation, distance not reported||4: No nearby vegetation||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and DIVISION in ('5' '7' '8' '9')","WFRVEGCLS is determined using WFRVEG (Do you have vegetation, such as shrubs, trees, or gardening mulch around your home?) and WFRVEGCLOSE (Is any of the vegetation less than 5 feet away from your home?). The PUF universe is a subset of the IUF universe and does not include the Wildland-Urban Interface areas.",
"WFRVEGCLS_IUF","14","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Vegetation within 5 feet of home","HOUSEHOLD","Character","JWFRVEGCLS_IUF","Coming soon","1: Has nearby vegetation, within 5 feet of home||2: Has nearby vegetation, not within 5 feet of home||3: Has nearby vegetation, distance not reported||4: No nearby vegetation||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","WFRVEGCLS is determined using WFRVEG (Do you have vegetation, such as shrubs, trees, or gardening mulch around your home?) and WFRVEGCLOSE (Is any of the vegetation less than 5 feet away from your home?).",
"WFRWFENCE","15","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","PUF","Flag indicating wooden fence on property","HOUSEHOLD","Character","JWFRWFENCE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have any of the following on your property? Wooden fence.","WFRWFENCE","None","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and DIVISION in ('5' '7' '8' '9')","The PUF universe is a subset of the IUF universe that does not include the Wildland-Urban Interface areas.",
"WFRWFENCE_IUF","16","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Flag indicating wooden items on property","HOUSEHOLD","Character","JWFRWFENCE_IUF","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have any of the following on your property? Wooden fence.","WFRWFENCE","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","",
"WFRWPILE","17","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","PUF","Flag indicating woodpile on property","HOUSEHOLD","Character","JWFRWPILE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have any of the following on your property? Woodpile.","WFRWPILE","None","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and DIVISION in ('5' '7' '8' '9')","The PUF universe is a subset of the IUF universe that does not include the Wildland-Urban Interface areas.",
"WFRWPILE_IUF","18","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Flag indicating woodpile on property","HOUSEHOLD","Character","JWFRWPILE_IUF","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have any of the following on your property? Woodpile.","WFRWPILE","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","",
"WFRWSHED","19","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","PUF","Flag indicating shed on property","HOUSEHOLD","Character","JWFRWSHED","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have any of the following on your property? Shed.","WFRWSHED","None","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and DIVISION in ('5' '7' '8' '9')","The PUF universe is a subset of the IUF universe that does not include the Wildland-Urban Interface areas.",
"WFRWSHED_IUF","20","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","Flag indicating shed on property","HOUSEHOLD","Character","JWFRWSHED_IUF","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you have any of the following on your property? Shed.","WFRWSHED","Withheld","INTSTATUS = '1' and BLD in ('01' '02' '03' '10') and SP2WEIGHT > 0 and (WUI_2010 in ('1' '2') or DIVISION in ('5' '7' '8' '9'))","",
"WUI_2010","21","Disaster Planning","19","Wildfire Risk","2","2021 National, 2021 Metro","IUF Only","2010 Wildland-Urban Interface (WUI) area code","HOUSEHOLD","Character","JWUI_2010","Coming soon","1: Intermix wildland urban interface areas||2: Interface wildland urban interface areas||3: Not in an intermix or interface area","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","A Wildland-Urban Interface (WUI) is defined by the U.S. Forest Service as an area where homes and other structures are in or adjacent to undeveloped wildland vegetation prone to large scale wildfire, thereby posing a significant threat to human life or property.",
"DPALTCOM","1","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating alternative communication plan","HOUSEHOLD","Character","JDPALTCOM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do the members of your household have a plan for communicating in the event that cell phone service is disrupted?","ALTCOM2","None","INTSTATUS = '1' and SPLITSAMP = '2' and NUMPEOPLE > 1","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPALTCOM","1","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating alternative communication plan","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVACPETS","2","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Household needs assistance evacuating pets","HOUSEHOLD","Character","JDPEVACPETS","Coming soon","1: Yes||2: No||3: No pets||M or -9: Not reported||N or -6: Not applicable","If you have pets and needed to evacuate from your town or city to a safe place at least 50 miles away, would you need assistance evacuating or sheltering your pets?","See User Notes","None","INTSTATUS = '1' and SPLITSAMP = '2'","This variable is determined using EVPETSV (Do you have any pets?) and EVPETS (If you had to evacuate from your town or city to a safe place at least 50 miles away, would you need assistance evacuating or sheltering your pets?) This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVACPETS","2","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Household needs assistance evacuating pets","HOUSEHOLD","Character","NA","","1: Yes||2: No||3: No pets||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVFIN","3","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating financial resources available","HOUSEHOLD","Character","JDPEVFIN","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","If you had to evacuate from your town or city to a safe place at least 50 miles away, do you have the financial resources, in terms of savings or available credit card balances, to meet expenses of up to $2,000?","EVFIN2","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVFIN","3","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating financial resources available","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVINFO","4","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating disaster plan with financial and contact information","HOUSEHOLD","Character","JDPEVINFO","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Would you have access to your vital financial information and contact numbers if you had to evacuate your home?","EVINFO","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVINFO","4","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating disaster plan with financial and contact information","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVKIT","5","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating emergency kit prepared","HOUSEHOLD","Character","JDPEVKIT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does your household have emergency supplies readily available to take with you if you have to evacuate your home?","EVKIT2","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVKIT","5","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating emergency kit prepared","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVLOC","6","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating evacuation location","HOUSEHOLD","Character","JDPEVLOC","Coming soon","1: Relatives or friends||2: Shelter||3: Hotel||4: RV||5: Other||M or -9: Not reported||N or -6: Not applicable","If you had to evacuate from your town or city to a safe place at least 50 miles away for at least two weeks, where would you most likely stay during those two weeks?","EVLOC2","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVLOC","6","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating evacuation location","HOUSEHOLD","Character","NA","","1: Relatives or friends||2: Shelter||3: Hotel||4: RV||5: Other||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVSEP","7","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating meeting spot","HOUSEHOLD","Character","JDPEVSEP","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","In some disasters, household members will need to evacuate separately. Does your household have an agreed-upon meeting point if that should happen?","EVSEP","None","INTSTATUS = '1' and SPLITSAMP = '2' and NUMPEOPLE > 1","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVSEP","7","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating meeting spot","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPEVVEHIC","8","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating vehicle available","HOUSEHOLD","Character","JDPEVVEHIC","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","If you had to evacuate from your town or city to a safe place at least 50 miles away do you have enough reliable vehicles to carry all of your household members and a small amount of supplies such as clothes and food?","EVVEHIC2","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPEVVEHIC","8","Disaster Planning","19","Preparation","3","2013 National, 2013 Metro","PUF","Flag indicating vehicle available","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"DPFLDINS","9","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Presence of flood insurance and reason for purchase","HOUSEHOLD","Character","JDPFLDINS","Coming soon","0: Does not have flood insurance||1: Flood insurance required for purchase or refinancing||2: Flood insurance bought after a neighbor bought it||3: Flood insurance bought for other reasons||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and SPLITSAMP = '2' and TENURE = '1'","This variable is determined using FLOODINS (Homeowners insurance policies do not cover flood damages caused by excessive rain. A homeowner who desires this coverage must purchase a separate policy. Do you have flood insurance?) and FLOODREAS (Which of the following was the primary reason for the purchase?) This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPGETINFO","10","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Flag indicating source of information during a disaster","HOUSEHOLD","Character","JDPGETINFO","Coming soon","1: Family, friends, neighbors||2: Radio||3: Television||4: Internet||5: Other||M or -9: Not reported||N or -6: Not applicable","In the event of a major disaster, where would you FIRST look to find information about what to do?","INFO","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPMAJDIS","11","Disaster Planning","19","Preparation","3","2017 National, 2017 Metro","PUF","Type of major disaster in last two years for rental unit","HOUSEHOLD","Character","JDPMAJDIS","Coming soon","1: Tornado, hurricane, etc. damage required extensive repairs to home||2: Fire damage required extensive repairs to home||3: Flood damage required extensive repairs to home||4: Other natural disaster damage required extensive repairs to home||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and TENURE in ('2' '3') and SPLITSAMP = '2'","This variable is determined using RMAJDIS (In the last two years, has there been a MAJOR disaster, such as a fire, earthquake, or tornado that required you or a landlord to make extensive repairs to your home?) and RTYPDIS (What happened?) If the respondent reported more than one disaster, the unit is coded to ""other disaster."" This item is part of the 2017 Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"DPBNREAD","1","Disaster Planning","19","Disaster planning","4","2013 National, 2013 Metro","PUF","Household has building number readable from street","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"HKRAC","1","New Orleans Variables","20","Cost (New Orleans Variables)","1","2011 National, 2011 Metro, 2009 Metro","PUF","Cost of alteration or repair due to Hurricane Katrina","HOUSEHOLD","Numeric","NA","","0 : 999999: $0 to $999,999||. : Not reported||B: Not applicable","","","","","",
"HKDAMGAS","2","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Received insurance or financial aid","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMGY5","3","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Cost of Hurricane Katrina related construction","HOUSEHOLD","Numeric","NA","","0 : 9999998: $0 to $9,999,998||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"HKFEDFIN","4","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Federal financial aid received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKFEDFL","5","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Owner has federal flood insurance","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKFEDFLOOD","6","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Federal flood insurance received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKHOMEOWN","7","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Homeowner's insurance received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKOTHAST","8","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Other financial aid received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKPRIVCHAR","9","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Private / charitable financial aid received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKRDHOME","10","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Road Home Grant received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKRPCST","11","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","Cost of Hurricane Katrina related repairs","HOUSEHOLD","Numeric","NA","","0 : 9999998: $0 to $9,999,998||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"HKSTATEFIN","12","New Orleans Variables","20","Cost (New Orleans Variables)","1","2009 Metro","PUF","State financial aid received","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKRAN","1","New Orleans Variables","20","Repair / Rebuild","2","2011 National, 2011 Metro","PUF","Number of replacements / additions made to unit as a result of Hurricane Katrina damage","HOUSEHOLD","Numeric","NA","","0 : 74: 0 to 74 replacements / additions made to unit||B: Not applicable","","","","","",
"HKRAN","1","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Number of replacements / additions made to unit as a result of Hurricane Katrina damage","HOUSEHOLD","Numeric","NA","","0 : 74: 0 to 74 replacements / additions made to unit||. : Not reported||B: Not applicable","","","","","",
"RAHK","2","New Orleans Variables","20","Repair / Rebuild","2","2011 National, 2011 Metro","PUF","Hurricane Katrina related alteration or repair","PROJECT","Character","NA","","1: Yes||2: No||B: Not applicable","","","","","",
"RAHK","2","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Hurricane Katrina related alteration or repair","PROJECT","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported","","","","","",
"HKDAMCSM","3","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated construction start month","HOUSEHOLD","Character","NA","","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMCSY","4","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated construction start year","HOUSEHOLD","Numeric","NA","","2005 : 2030: 2005 to 2030||D: Don't know||. : Not reported||B: Not applicable","","","","","",
"HKDAMGN1","5","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Hurricane Katrina related repairs done to unit","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMGNM","6","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated repair completion month","HOUSEHOLD","Character","NA","","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMGNY","7","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated repair completion year","HOUSEHOLD","Numeric","NA","","2005 : 2030: 2005 to 2030||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"HKDAMGY2","8","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Unit was rebuilt due to Hurricane Katrina damage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMGYM","9","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated construction completion month","HOUSEHOLD","Character","NA","","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMGYY","10","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated construction completion year","HOUSEHOLD","Numeric","NA","","2005 : 2030: 2005 to 2030||D: Don't know||. : Not reported||B: Not applicable","","","","","",
"HKDAMRSM","11","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated repair start month","HOUSEHOLD","Character","NA","","01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMRSY","12","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Estimated repair start year","HOUSEHOLD","Numeric","NA","","2005 : 2030: 2005 to 2030||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"HKELEV1","13","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Unit has been or will be elevated","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKELEV2","14","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Unit elevation required","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKGAP","15","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Lacking funds to finish repairs / rebuild","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"RA2Y","16","New Orleans Variables","20","Repair / Rebuild","2","2009 Metro","PUF","Job performed in the last two years","PROJECT","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported","","","","","",
"HKDAMGUN","1","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Trailer / RV / other used as housing unit","HOUSEHOLD","Character","NA","","1: Manufactured / mobile home||2: Travel trailer or RV||3: Other||4: None||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKHOME","2","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in a house or apartment due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKHOTEL","3","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in a hotel, motel, or cruise ship due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKMH","4","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in a mobile home due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKMOVR","5","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Forced to move because of Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKNUMR","6","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Number of residences since Hurricane Katrina","HOUSEHOLD","Numeric","NA","","0 : 10: 0 to 10||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"HKOTHER","7","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in other residence due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKPEPDNK","8","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived with unknown people after Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKPERM","9","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Permanently settled","HOUSEHOLD","Character","NA","","1: In transition||2: In permanent home||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKRELFRD","10","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived with acquaintance after Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKSHAR1","11","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in shared residence since Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKSHELTER","12","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in public shelter due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKTENT","13","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in a tent or car due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKTRAILER","14","New Orleans Variables","20","Interim housing","3","2009 Metro","PUF","Lived in a travel trailer or RV due to Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMG","1","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Unit sustained Hurricane Katrina damage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"HKDAMGY1","2","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Unit razed / condemned due to Hurricane Katrina damage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"HKNORES","3","New Orleans Variables","20","Old unit","4","2009 Metro","PUF","Living in New Orleans during Hurricane Katrina","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported","","","","","",
